timestamp,case_id,evidence_id,module,action,level,message,duration_ms
2026-07-25T16:24:18.076Z,CASE_EE8250FB76,EVID_00005,phase1_pipeline,started,INFO,file=08_complaint_letter.pdf image=False,0.0
2026-07-25T16:24:18.083Z,CASE_EE8250FB76,EVID_00005,file_integrity,fingerprinted,INFO,sha256=fe644062bf75e62c... entropy=6.1851 magic=PDF document duplicate=False,5.5
2026-07-25T16:24:18.086Z,CASE_EE8250FB76,EVID_00005,metadata_extraction,extracted,INFO,type=pdf notes=0 errors=0,1.2
2026-07-25T16:24:18.088Z,CASE_EE8250FB76,EVID_00005,confidence_scoring,scored,INFO,score=100.0 level=VERY_HIGH components=3/6,0.0
2026-07-25T16:24:18.088Z,CASE_EE8250FB76,EVID_00005,phase1_pipeline,completed,INFO,"analyses=['confidence', 'fingerprint', 'metadata'] failures=none",12.3
2026-07-25T17:16:46.800Z,CASE_185915593C,EVID_00007,phase1_pipeline,started,INFO,file=01_sms_screenshot.jpg image=True,0.0
2026-07-25T17:16:46.807Z,CASE_185915593C,EVID_00007,file_integrity,fingerprinted,INFO,sha256=905b21d603ca0a6f... entropy=7.4803 magic=JPEG image duplicate=False,5.1
2026-07-25T17:16:46.809Z,CASE_185915593C,EVID_00007,metadata_extraction,extracted,INFO,type=image notes=1 errors=0,1.0
2026-07-25T17:16:46.832Z,CASE_185915593C,EVID_00007,quality_assessment,assessed,INFO,score=62.4 grade=FAIR expected_ocr=79.4%,17.9
2026-07-25T17:16:47.415Z,CASE_185915593C,EVID_00007,forgery_detection,analyzed,INFO,score=17.8 risk=LOW status=LIKELY_AUTHENTIC,581.7
2026-07-25T17:16:47.418Z,CASE_185915593C,EVID_00007,advanced_preprocessing,op:perspective_correction,INFO,applied=False no dominant quadrilateral,2.5
2026-07-25T17:16:47.422Z,CASE_185915593C,EVID_00007,advanced_preprocessing,op:super_resolution,INFO,applied=True lanczos_x1.40,4.0
2026-07-25T17:16:47.425Z,CASE_185915593C,EVID_00007,advanced_preprocessing,op:edge_enhancement,INFO,applied=True unsharp_mask(amount=0.6),3.0
2026-07-25T17:16:47.443Z,CASE_185915593C,EVID_00007,advanced_preprocessing,completed,INFO,2/3 operations applied,27.2
